country,year,iso_code,population,gdp,co2,co2_per_capita,co2_per_gdp,cumulative_co2,land_use_change_co2,energy_per_capita,energy_per_gdp,primary_energy_consumption,share_global_co2,share_global_cumulative_co2,share_global_coal_co2,total_ghg,temperature_change_from_co2,temperature_change_from_ghg
World,1820,0,1093424863.0,1175113826304.0,50.733,0.046,0.043,1592.845,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
World,1850,0,1278810377.0,1546684465152.0,196.752,0.154,0.127,4769.415,2643.246,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
World,1870,0,1341697614.0,1963043061760.0,533.338,0.398,0.272,11774.251,2853.34,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.028,0.039
World,1900,0,1627883132.0,3503708176384.0,1952.209,1.199,0.557,44889.027,4377.319,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.092,0.128
World,1920,0,1895682150.0,4824948539392.0,3521.427,1.858,0.73,103165.633,4608.409,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.159,0.22
World,1940,0,2290871362.0,7646890426368.0,4861.346,2.122,0.636,180095.141,5341.978,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.239,0.33
World,1950,0,2499322112.0,8461551665152.0,5929.342,2.372,0.701,230769.469,6067.071,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.287,0.402
World,1960,0,3019233536.0,13338076512256.0,9386.421,3.109,0.704,307272.375,6831.174,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.351,0.506
World,1970,0,3695390208.0,21941933047808.0,14898.156,4.032,0.679,424494.031,5114.187,15469.435,2.605,57165.598,100.0,100.0,100.0,0.0,0.427,0.64
World,1980,0,4444007936.0,31982614478848.0,19482.441,4.384,0.609,601992.375,4406.51,17552.455,2.439,78003.25,100.0,100.0,100.0,0.0,0.525,0.804
World,1990,0,5316175872.0,43033605177344.0,22752.701,4.28,0.529,807869.875,5166.899,17972.461,2.22,95544.766,100.0,100.0,100.0,32661.42,0.64,0.972
World,2000,0,6148898816.0,59897668435968.0,25501.287,4.147,0.426,1046336.0,5375.662,17949.238,1.843,110368.055,100.0,100.0,100.0,35994.91,0.77,1.146
World,2010,0,6985603072.0,89807707439104.0,33306.328,4.768,0.371,1343067.125,5177.513,20249.867,1.575,141457.531,100.0,100.0,100.0,45080.621,0.923,1.348
World,2015,0,7426597376.0,106871830609920.0,35463.215,4.775,0.332,1518601.0,5630.261,20471.756,1.423,152035.484,100.0,100.0,100.0,47059.77,1.011,1.466
World,2016,0,7513474048.0,110407201062912.0,35460.027,4.72,0.321,1554060.875,4598.992,20444.303,1.391,153607.734,100.0,100.0,100.0,47691.828,1.029,1.489
World,2017,0,7599822336.0,114529589526528.0,36025.453,4.74,0.315,1590086.5,4564.99,20691.545,1.373,157252.062,100.0,100.0,100.0,48390.922,1.046,1.513
World,2018,0,7683789824.0,118765811400704.0,36766.945,4.785,0.31,1626853.375,4285.146,21020.674,1.36,161518.438,100.0,100.0,100.0,49585.91,1.064,1.538
World,2019,0,7764951040.0,122149364826112.0,37040.102,4.77,0.303,1663893.5,4597.514,21036.396,1.337,163346.594,100.0,100.0,100.0,49880.602,1.082,1.562
World,2020,0,7840952832.0,118590019731456.0,35007.738,4.465,0.295,1698901.25,4295.186,20108.234,1.33,157667.719,100.0,100.0,100.0,47513.148,1.1,1.586
World,2021,0,7909295104.0,126004794228736.0,36816.543,4.655,0.292,1735717.75,4321.578,20953.705,1.315,165729.031,100.0,100.0,100.0,0.0,1.118,1.61
World,2022,0,7975105024.0,130112561348608.0,37149.785,4.658,0.286,1772867.5,4309.951,21154.355,1.297,168708.203,100.0,100.0,100.0,0.0,1.136,1.635
